Country,ISO3 Code,Date,Price (EUR/MWhe)
Slovenia,SVN,01/06/2015,34.2
Spain,ESP,01/06/2015,54.75
Sweden,SWE,01/06/2015,16.06
Switzerland,CHE,01/06/2015,30.45
Austria,AUT,01/07/2015,34.98
Belgium,BEL,01/07/2015,42.58
Czechia,CZE,01/07/2015,36.7
Denmark,DNK,01/07/2015,13.69
Estonia,EST,01/07/2015,27.99
Finland,FIN,01/07/2015,27.57
France,FRA,01/07/2015,37.91
Germany,DEU,01/07/2015,34.98
Greece,GRC,01/07/2015,53.18
Hungary,HUN,01/07/2015,52.35
Italy,ITA,01/07/2015,67.71
Latvia,LVA,01/07/2015,44.25
Lithuania,LTU,01/07/2015,44.46
Luxembourg,LUX,01/07/2015,34.98
Netherlands,NLD,01/07/2015,42.19
Norway,NOR,01/07/2015,8.94
Poland,POL,01/07/2015,40
Portugal,PRT,01/07/2015,59.59
Romania,ROU,01/07/2015,41.91
Slovakia,SVK,01/07/2015,38.54
Slovenia,SVN,01/07/2015,54.02
Spain,ESP,01/07/2015,59.53
Sweden,SWE,01/07/2015,9.07
Switzerland,CHE,01/07/2015,35.98
Austria,AUT,01/08/2015,31.61
Belgium,BEL,01/08/2015,42.44
Czechia,CZE,01/08/2015,32.69
Denmark,DNK,01/08/2015,22.74
Estonia,EST,01/08/2015,31.23
Finland,FIN,01/08/2015,31.15
France,FRA,01/08/2015,32.19
Germany,DEU,01/08/2015,31.61
Greece,GRC,01/08/2015,50.18
Hungary,HUN,01/08/2015,42.56
Italy,ITA,01/08/2015,52.74
Latvia,LVA,01/08/2015,46.44
Lithuania,LTU,01/08/2015,46.44
Luxembourg,LUX,01/08/2015,31.61
Netherlands,NLD,01/08/2015,38.87
Norway,NOR,01/08/2015,11.69
Poland,POL,01/08/2015,42.33
Portugal,PRT,01/08/2015,55.62
Romania,ROU,01/08/2015,40.7
Slovakia,SVK,01/08/2015,33.3
Slovenia,SVN,01/08/2015,42.94
Spain,ESP,01/08/2015,55.61
Sweden,SWE,01/08/2015,16.28
Switzerland,CHE,01/08/2015,32.71
Austria,AUT,01/09/2015,31.89
Belgium,BEL,01/09/2015,52.49
Czechia,CZE,01/09/2015,33.4
Denmark,DNK,01/09/2015,22.82
Estonia,EST,01/09/2015,31.69
Finland,FIN,01/09/2015,31.74
France,FRA,01/09/2015,37.45
Germany,DEU,01/09/2015,31.89
Greece,GRC,01/09/2015,50.74
Hungary,HUN,01/09/2015,47.53
Italy,ITA,01/09/2015,49.45
Latvia,LVA,01/09/2015,44.27
Lithuania,LTU,01/09/2015,44.27
Luxembourg,LUX,01/09/2015,31.89
Netherlands,NLD,01/09/2015,39.65
Norway,NOR,01/09/2015,15.22
Poland,POL,01/09/2015,39.06
Portugal,PRT,01/09/2015,52.4
Romania,ROU,01/09/2015,40.96
Slovakia,SVK,01/09/2015,36.61
Slovenia,SVN,01/09/2015,46.42
Spain,ESP,01/09/2015,51.87
